height_level,z,p,T,q,ws,theta,RH,Td
2532.0,2532.0,75655.74200446831,285.86921591852825,0.005092834071141317,7.9073386886954005,309.57594068630726,0.42029458577420586,272.20780009057006
2534.0,2534.0,75637.63764823592,285.85570157028116,0.005089197945538996,7.912773535151067,309.5824648643462,0.4202670321993034,272.1945756032335
2536.0,2536.0,75619.53636768262,285.8421856156233,0.005085548795394638,7.918201108432564,309.5889882211801,0.4202382695007045,272.1813015732717
2538.0,2538.0,75601.43741424278,285.8286770983082,0.0050818949416912545,7.923628550688346,309.59552147910273,0.42020872793287173,272.1679976221402
2540.0,2540.0,75583.34472197862,285.8151984699232,0.00507823322888736,7.929064610521302,309.6020844944464,0.42017754947893554,272.15467116848777
2542.0,2542.0,75565.25565161566,285.8017283404902,0.005074568373909166,7.934500249495687,309.6086570566221,0.42014569652178235,272.1413201508276
2544.0,2544.0,75547.17020566782,285.7882484689959,0.005070901714216829,7.939929129641724,309.61521933514626,0.42011378132682453,272.1279558891178
2546.0,2546.0,75529.08773175876,285.77477575909217,0.0050672077685250385,7.945353773348103,309.6217904585738,0.42007922803813175,272.1145501432508
2548.0,2548.0,75511.00896558481,285.7613105603037,0.005063501880557948,7.9507750685857,309.62836991024125,0.42004329538008867,272.10110144803684
2550.0,2550.0,75492.9385325223,285.74785506324514,0.0050597953687598635,7.956267192715612,309.63495469480614,0.42000688317145957,272.08762574594874
2552.0,2552.0,75474.87380535869,285.7344079364273,0.005056072273372427,7.961773111268595,309.6415464376414,0.4199686915149547,272.0740917032038
2554.0,2554.0,75456.81214493915,285.72098190230076,0.005052355093496045,7.967274120253292,309.64816205927673,0.41993021652428947,272.0605623377239
2556.0,2556.0,75438.75602048366,285.70756182745856,0.00504865143262257,7.9727831571964805,309.6547822781948,0.4198925200363161,272.04703514919606
2558.0,2558.0,75420.70344004019,285.6941558886879,0.005044958422238591,7.97825232271631,309.66141822545325,0.4198551295496834,272.03350930701026
2560.0,2560.0,75402.65754753037,285.68074950586066,0.005041265745443692,7.983740786934895,309.6680504255458,0.4198176092284035,272.01996379899447
2562.0,2562.0,75384.61751716885,285.66736400456796,0.005037606519021688,7.989246101904564,309.6747029838157,0.41978211780274965,272.00648378232324
2564.0,2564.0,75366.58258739173,285.6539813384128,0.0050339587025260615,7.994734788039298,309.6813571819192,0.4197473212106981,271.9930089769061
2566.0,2566.0,75348.55234995378,285.6405924925418,0.0050303194799893635,8.000240052935917,309.68800368764647,0.41971323293206747,271.9795277041543
2568.0,2568.0,75330.52867081246,285.6271920928239,0.0050266852844065586,8.005729014802206,309.6946345183104,0.41967971569269136,271.96602967243007
2570.0,2570.0,75312.50930461803,285.61380289501244,0.005023061352023428,8.01121225394958,309.7012770033565,0.4196465665601601,271.95253235303363
2572.0,2572.0,75294.49551087135,285.6004177864101,0.0050194401487389856,8.016663443968906,309.7079219302064,0.4196133620272395,271.9390196667924
2574.0,2574.0,75276.49114986885,285.58704740769446,0.005015820110569114,8.022071239025205,309.7145763599523,0.419579700092428,271.92548077641504
2576.0,2576.0,75258.49929177406,285.5736876064414,0.005012168685410573,8.027477444274853,309.7212321852572,0.4195429957324169,271.9118999756365
2578.0,2578.0,75240.5120863604,285.56034117366374,0.005008498081479875,8.032877662118858,309.72790161885564,0.41950414238437495,271.8982710351955
2580.0,2580.0,75222.52726621875,285.5469891417215,0.005004833035177023,8.03826320322748,309.73456667917964,0.41946571373656755,271.884633697023
2582.0,2582.0,75204.55306192477,285.53362665168595,0.0050011873247541635,8.043668985851314,309.74121240736093,0.41942904226648836,271.87109084112507
2584.0,2584.0,75186.58945127255,285.5202335928265,0.004997544108694944,8.049069235666403,309.7478169431011,0.4193932759801806,271.85756219947166
2586.0,2586.0,75168.6402259689,285.5068322129054,0.00499389115944676,8.05444436985376,309.7544000489021,0.41935679933052594,271.8440218496102
2588.0,2588.0,75150.69762652476,285.4934409059602,0.004990216031007732,8.05984086904259,309.7609908512665,0.4193180175601265,271.83043734287634
2590.0,2590.0,75132.76667399875,285.48006959155833,0.004986544300417714,8.065226277930392,309.76759418178534,0.4192788254685477,271.81685337522833
2592.0,2592.0,75114.85430359034,285.46670629962216,0.004982883886435244,8.070614660039283,309.7741888325581,0.41924025622649297,271.8032967149578
2594.0,2594.0,75096.95513726813,285.4533344185956,0.004979240456716492,8.076022572599678,309.78076304429186,0.41920321501316854,271.78983049181153
2596.0,2596.0,75079.06587471494,285.43994331644654,0.004975595837082859,8.081440059997933,309.7873092003585,0.41916645254134155,271.7763306598173
2598.0,2598.0,75061.19656704678,285.4265414260821,0.004971950599812777,8.086881125043625,309.7938246170814,0.41912984015500593,271.7628252687026
2600.0,2600.0,75043.34934739975,285.41314769926595,0.004968348277520481,8.092380045982296,309.80032743645637,0.4190965280957427,271.74943066209244
2602.0,2602.0,75025.50979392728,285.39974588298224,0.004964746896430415,8.097876271127113,309.8068168875454,0.41906335837265296,271.7360187649154
2604.0,2604.0,75007.68466875826,285.38633632335524,0.004961143752519273,8.103359581781081,309.81328545563474,0.41903013143419093,271.722609904053
